district_id;district_name;year;month;week;cases;population;area_km2;density;cases_per_100k
BC;Bình Chánh;2022;4;16;168;705508.0;252.69;2.793;23.813
BT;Bình Tân;2022;4;16;123;784173.0;52.02;15.074;15.685
BTH;Bình Thạnh;2022;4;16;70;499164.0;20.76;24.021;14.023
CG;Cần Giờ;2022;4;16;11;71526.0;704.45;102.0;15.379
CC;Củ Chi;2022;4;16;85;462047.0;434.77;1.063;18.396
GV;Gò Vấp;2022;4;16;87;676899.0;19.73;34.308;12.853
HM;Hóc Môn;2022;4;16;79;542243.0;109.17;4.967;14.569
NB;Nhà Bè;2022;4;16;36;206837.0;100.43;2.06;17.405
PN;Phú Nhuận;2022;4;16;21;163961.0;4.86;33.599;12.808
Q1;Quận 1;2022;4;16;21;142625.0;7.73;18.451;14.724
Q10;Quận 10;2022;4;16;16;234819.0;5.72;41.052;6.814
Q11;Quận 11;2022;4;16;25;209867.0;5.14;40.83;11.912
Q12;Quận 12;2022;4;16;72;620146.0;52.74;11.921;11.61
Q3;Quận 3;2022;4;16;11;190375.0;4.92;38.694;5.778
Q4;Quận 4;2022;4;16;24;175329.0;4.18;41.945;13.689
Q5;Quận 5;2022;4;16;22;159073.0;4.27;37.254;13.83
Q6;Quận 6;2022;4;16;30;233561.0;7.19;32.712;12.845
Q7;Quận 7;2022;4;16;44;360155.0;35.69;10.091;12.217
Q8;Quận 8;2022;4;16;44;424667.0;19.18;22.222;10.361
TB;Tân Bình;2022;4;16;64;474792.0;22.43;21.168;13.48
TP;Tân Phú;2022;4;16;69;485348.0;15.97;30.391;14.217
TD;Thủ Đức;2022;4;16;206;1169967.0;211.56;5.53;17.607
BC;Bình Chánh;2022;4;17;149;705508.0;252.69;2.793;21.12
BT;Bình Tân;2022;4;17;142;784173.0;52.02;15.074;18.108
BTH;Bình Thạnh;2022;4;17;75;499164.0;20.76;24.021;15.025
CG;Cần Giờ;2022;4;17;8;71526.0;704.45;102.0;11.185
CC;Củ Chi;2022;4;17;87;462047.0;434.77;1.063;18.829
GV;Gò Vấp;2022;4;17;108;676899.0;19.73;34.308;15.955
HM;Hóc Môn;2022;4;17;97;542243.0;109.17;4.967;17.889
NB;Nhà Bè;2022;4;17;33;206837.0;100.43;2.06;15.955
PN;Phú Nhuận;2022;4;17;11;163961.0;4.86;33.599;6.709
Q1;Quận 1;2022;4;17;15;142625.0;7.73;18.451;10.517
Q10;Quận 10;2022;4;17;21;234819.0;5.72;41.052;8.943
Q11;Quận 11;2022;4;17;31;209867.0;5.14;40.83;14.771
Q12;Quận 12;2022;4;17;85;620146.0;52.74;11.921;13.706
Q3;Quận 3;2022;4;17;16;190375.0;4.92;38.694;8.404
Q4;Quận 4;2022;4;17;25;175329.0;4.18;41.945;14.259
Q5;Quận 5;2022;4;17;19;159073.0;4.27;37.254;11.944
Q6;Quận 6;2022;4;17;27;233561.0;7.19;32.712;11.56
Q7;Quận 7;2022;4;17;53;360155.0;35.69;10.091;14.716
Q8;Quận 8;2022;4;17;63;424667.0;19.18;22.222;14.835
TB;Tân Bình;2022;4;17;81;474792.0;22.43;21.168;17.06
TP;Tân Phú;2022;4;17;66;485348.0;15.97;30.391;13.598
TD;Thủ Đức;2022;4;17;192;1169967.0;211.56;5.53;16.411
BC;Bình Chánh;2022;4;18;169;705508.0;252.69;2.793;23.954
BT;Bình Tân;2022;4;18;120;784173.0;52.02;15.074;15.303
BTH;Bình Thạnh;2022;4;18;63;499164.0;20.76;24.021;12.621
CG;Cần Giờ;2022;4;18;9;71526.0;704.45;102.0;12.583
